route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color
1,1,005,Pedregoso 2a Sección - Central De Autobuses,3,a9745b,000000
2,1,007,Central De Autobuses - Parque Industrial,3,a9745b,000000
3,1,009,San Pedro Ahuacatlan - Central De Autobuses,3,a9745b,000000
4,1,010,Cerro Gordo - 5 De Mayo,3,a9745b,000000
5,1,012,Hospital General - Centro,3,a9745b,000000
6,1,013,Carrizo - 5 De Mayo,3,a9745b,000000
7,1,014,Granjas Banthi - Centro,3,a9745b,000000
8,1,017,Barrio De La Cruz - Centro,3,a9745b,000000
9,1,019,Pedregoso - Valle Real,3,a9745b,000000
10,1,020,Valle Real - Central De Autobuses,3,a9745b,000000
12,1,024,Praderas Del Sol - Centro,3,a9745b,000000
14,1,028,Rancho De En Medio - Central De Autobuses,3,a9745b,000000
17,1,031,Pedregoso - Pitsa,3,a9745b,000000
19,1,036,Vistha (cereso) - 5 De Mayo (paradero),3,a9745b,000000
20,1,037,La Peña - Centro,3,a9745b,000000
21,1,038,La Peña - Central De Autobuses,3,a9745b,000000
22,1,040,Las Aguilas - Universidad Tecnológica (utsjr),3,a9745b,000000
23,1,041,Francisco Villa - Centro,3,a9745b,000000
24,1,043,Valle Dorado I - Central De Autobuses,3,a9745b,000000
25,1,044,Valle Dorado Ii - Centro,3,a9745b,000000
90,1,L51,Alameda - Santa Barbara,3,f2ac32,000000
91,1,L52,Segundo Barrio De Dolores - El Mirador,3,f2ac32,000000
92,1,L53,Terminal Balvanera - Lourdes,3,f2ac32,000000
93,1,L54,Terminal Balvanera - Col 20 De Enero,3,f2ac32,000000
94,1,L55,Terminal Balvanera - Los Angeles,3,f2ac32,000000
95,1,L56,Terminal Balvanera - Fracc Piramides,3,f2ac32,000000
96,1,C21,Las Flores - Fracc Fray Junipero Serra,3,18b780,000000
97,1,C22,Fracc Santuarios - Penal,3,18b780,000000
98,1,C23,Lomas De La Cruz - Terminal De Autobuses (taq),3,18b780,000000
99,1,T01,Terminal Balvanera - Los Heroes,3,e97936,000000
112,1,L103,El Pozo - Uaq Aeropuerto,3,f2ac32,000000
113,1,L104,La Pradera - Zibata,3,f2ac32,000000
114,1,L105,Penal - Zibata,3,f2ac32,000000
118,1,MV-R01,La Negreta,3,db3789,000000
119,1,MV-R02,El Pueblito - Paseos Del Bosque,3,db3789,000000
120,1,MV-R03,Lourdes - Camino Al Cerrito,3,db3789,000000
122,1,MV-R05,El Pueblito - Mision Candiles,3,db3789,000000
123,1,MV-R06,Santa Barbara - La Poza,3,db3789,000000
124,1,MV-R07,Arroyo Hondo - Presa De Bravo,3,db3789,000000
125,1,MV-R08,413 Camino A Coroneo - El Jaral,3,db3789,000000
126,1,MV-R09,Los Angeles - El Pueblito,3,db3789,000000
127,1,MV-R10,Los Altos Del Pueblito - Industrial El Pueblito,3,db3789,000000
128,1,L100,Av De La Luz - Terminal Balvanera,3,f2ac32,000000
129,1,L101,Terminal Blavanera - Imss H Gral No 1,3,f2ac32,000000
130,1,L102,Valle Dorado - Terminal Balvanera,3,f2ac32,000000
131,1,L106,La Pradera - Zakia,3,f2ac32,000000
134,1,C26,Terminal De Autobuses (taq) - Av Zaragoza,3,18b780,000000
136,1,C28,Av Del Parque - Av Zaragoza,3,18b780,000000
138,1,C30,Alameda - Cto Moises Solana,3,18b780,000000
139,1,C32,Blvd De Los Gobernadores - Av Tecnologico,3,18b780,000000
140,1,L107,Lazaro Cardenas - Criq Queretaro,3,f2ac32,000000
160,1,L59,San Pedrito El Alto - Linda Vista,3,f2ac32,000000
162,1,L109,Socavon - Alameda,3,f2ac32,000000
163,1,L110,Corporativo Santander - Colinas De Menchaca,3,f2ac32,000000
164,1,L111,Victoria Popular - Prepa Norte Uaq,3,f2ac32,000000
233,1,L113,Blvd De Las Americas - El Santuario Del Pueblito,3,f2ac32,000000
234,1,L117,Reforma Agraria - Niños Heroes,3,f2ac32,000000
235,1,MV-R04,Vista Hermosa - Candiles,3,db3789,000000
245,1,C58,Fracc Vistana - Puerta Navarra,3,18b780,000000
255,1,T11,Terminal Balvanera - Parque Industrial Queretaro,3,e97936,000000
256,1,T12,Av De La Luz - Real Solare,3,e97936,000000
257,1,C66,Santa Rosa Jauregui - Av De La Luz,3,18b780,000000
273,1,L119,Santa Rosa Jauregui - Buenavista,3,f2ac32,000000
274,1,L150,Mompani - La Obrera,3,f2ac32,000000
275,1,L124,Santa Rosa Jauregui - La Solana,3,f2ac32,000000
276,1,L120,Santa Rosa Jauregui - La Cantera,3,f2ac32,000000
277,1,L121,Santa Rosa Jauregui - Cañada De La Monja,3,f2ac32,000000
278,1,L122,Santa Rosa Jauregui - Casa Blanca,3,f2ac32,000000
279,1,L123,Santa Rosa Jauregui - San Miguelito,3,f2ac32,000000
280,1,L114,Santa Rosa Jauregui - Cecyteq 09 Montenegro,3,f2ac32,000000
281,1,L115,Leyes De Reforma - Corporativo Santander,3,f2ac32,000000
283,1,C67,Jardines De Jurica - La Obrera,3,18b780,000000
288,1,UAQ1,Uaq: Centro Universitario - Uaq: Campus Juriquilla,3,0d8bd3,000000
