stop_id,tiempo_red_min,route_id_principal,route_short_name,num_transbordos,num_paradas_camino,num_rutas_camino,tipo_conexion,itinerario_route_ids,itinerario_rutas,paradas_transbordo,camino_stop_ids,rutas_por_segmento,penalizacion_transbordo_config_min,stop_name,stop_lat,stop_lon
ESTACION_CORREGIDORA_SUR,0.0,,,0,1,0,Destino,,,,"[""ESTACION_CORREGIDORA_SUR""]",[],5.0,Estación Corregidora (acceso sur),20.600611,-100.402184
3025,2.6320546338822166,CAMINATA,Caminata,0,2,0,Solo caminata,,,,"[""3025"", ""ESTACION_CORREGIDORA_SUR""]","[""CAMINATA""]",5.0,Estío/Calle Dr. Manuel Domínguez,20.599573,-100.400492
5200,4.425832427998967,CAMINATA,Caminata,0,2,0,Solo caminata,,,,"[""5200"", ""ESTACION_CORREGIDORA_SUR""]","[""CAMINATA""]",5.0,Calle Nicolás Bravo/Calle Primavera,20.599984539434,-100.39884877864
3263,4.837344582985146,CAMINATA,Caminata,0,2,0,Solo caminata,,,,"[""3263"", ""ESTACION_CORREGIDORA_SUR""]","[""CAMINATA""]",5.0,San Agustín del Retablo/Salvador Galván,20.59716437,-100.4026996
2316,5.075832427998967,345,C55,0,3,1,Directa,345,C55,,"[""2316"", ""5200"", ""ESTACION_CORREGIDORA_SUR""]","[""345"", ""CAMINATA""]",5.0,Calle Nicolás Bravo/Calle Segunda de Las Rosas,20.59813919,-100.3985727
5194,5.542499094665634,345,C55,0,4,1,Directa,345,C55,,"[""5194"", ""2316"", ""5200"", ""ESTACION_CORREGIDORA_SUR""]","[""345"", ""345"", ""CAMINATA""]",5.0,Av. Universidad/Calle Rafael Osuna,20.596931215598,-100.39921999251
2394,5.5591657613323004,344,C54,0,4,1,Directa,344,C54,,"[""2394"", ""2316"", ""5200"", ""ESTACION_CORREGIDORA_SUR""]","[""344"", ""344"", ""CAMINATA""]",5.0,Av. Universidad/Calle Nicolás Bravo,20.59797668,-100.3982517
5193,5.570852252439656,CAMINATA,Caminata,0,2,0,Solo caminata,,,,"[""5193"", ""ESTACION_CORREGIDORA_SUR""]","[""CAMINATA""]",5.0,San Agustín del Retablo/Estio,20.597155987139,-100.40001379128
5070,5.604011249651813,343,C53,0,3,1,Directa,343,C53,,"[""5070"", ""3263"", ""ESTACION_CORREGIDORA_SUR""]","[""343"", ""CAMINATA""]",5.0,San Agustín del Retablo,20.59737550726,-100.40484280263
2680,5.795790550820748,CAMINATA,Caminata,0,2,0,Solo caminata,,,,"[""2680"", ""ESTACION_CORREGIDORA_SUR""]","[""CAMINATA""]",5.0,Av. Universidad/Calle Ezequiel Montes,20.59689889,-100.4001549
2315,6.009165761332301,345,C55,0,5,1,Directa,345,C55,,"[""2315"", ""5194"", ""2316"", ""5200"", ""ESTACION_CORREGIDORA_SUR""]","[""345"", ""345"", ""345"", ""CAMINATA""]",5.0,Av. Universidad/San Andrés,20.59623573,-100.400419
3262,6.27067791631848,343,C53,0,4,1,Directa,343,C53,,"[""3262"", ""5070"", ""3263"", ""ESTACION_CORREGIDORA_SUR""]","[""343"", ""343"", ""CAMINATA""]",5.0,José Amilcar Vidal/San Agustín del Retablo,20.59778014,-100.4066642
